name,domain,what,region,website,github,linkedin_org,community_url,events_url,linkedin_people,tags,related_to,source,founding_year,takes_contributors,careers_url,last_verified
Auckland Council Open Data,open-data,"Auckland Council Open Data is the council's public website for browsing and downloading geospatial datasets, such as maps of parks, property boundaries, and infrastructure, so residents and developers can reuse council information.",auckland,https://data-aucklandcouncil.opendata.arcgis.com/,,,,,,open data; geospatial; local government; council,data.govt.nz; Koordinates,data-aucklandcouncil.opendata.arcgis.com homepage (verified via WebFetch ; page loaded but returned limited extractable text; confirmed as Auckland Council's open data platform via web search),,,,2026-08-05
Auckland Library of Tools,makerspaces / hackerspaces,"Auckland Library of Tools is a Grey Lynn community hub where people can borrow up to 10 tools at a time, from power drills to sewing machines, instead of buying their own, and it also runs monthly repair cafes to help people fix things rather than throw them away.",auckland,https://www.aucklandlibraryoftools.com/,,,,,,makerspace; tool library; community tech space; sustainability; volunteer-run,Hackland,"aucklandlibraryoftools.com homepage (verified via curl and WebFetch, HTTP 200); careers_url (volunteer page) verified via aucklandlibraryoftools.com/volunteer (2026-08-25)",2018,true,https://www.aucklandlibraryoftools.com/volunteer/,2026-08-05
Awa Digital,health tech for good / hauora Māori,"Awa Digital is a Māori-owned health technology company building AI-powered clinical documentation infrastructure (Tuhi) deployed within the Health NZ ecosystem, with Māori data sovereignty embedded in every layer.",national,https://awadigital.co.nz,,https://www.linkedin.com/company/awa-digital-nz,,,,Māori-owned; health-tech; clinical-documentation; AI; Māori-data-sovereignty,,"awadigital.co.nz homepage, verified 2026-08-07 via web search; linkedin_org verified from awadigital.co.nz homepage and linkedin.com (2026-08-25)",,,,2026-08-07
Bay of Plenty Regional Council Open Data (Bay of Plenty Maps),open-data,"Bay of Plenty Maps is an open data site where Bay of Plenty Regional Council, Tauranga City Council, Western Bay of Plenty District Council, and Whakatāne District Council share public spatial data, like resource consents and council boundaries.",bay-of-plenty,https://data-boprc.opendata.arcgis.com/,,,,,,regional council; open data; environment; GIS,,"data-boprc.opendata.arcgis.com homepage (verified via curl, HTTP 200)",2015,,,2026-08-05
Be. Lab,disability & accessibility tech,"Be. Lab (formerly Be. Accessible) is a New Zealand organisation, launched in 2011, that helps businesses make their websites, apps, and workplaces accessible through digital accessibility assessments, training, and consulting.",national,https://www.belab.co.nz,,https://www.linkedin.com/company/belabnz,,,,accessibility; digital accessibility; consulting; disability employment,Blind Low Vision NZ; Access Matters Aotearoa,"web search of belab.co.nz About Us, Our Services, and Digital Accessibility Assessments pages; direct fetch of the site returned a repeated TLS/SSL handshake error rather than real content, but the domain is confirmed live and returning real content indexed by search engines",,,,2026-08-05
BenefitMe,housing / homelessness tech,"BenefitMe is a free tool by the Digital Aotearoa Collective that helps New Zealanders discover their legal entitlements to benefits and social support, designed to reduce the power imbalance between people seeking help and government departments.",national,https://benefitme.nz,,,,,,benefits; social-support; digital-inclusion; legal-rights,Digital Aotearoa Collective,"benefitme.nz homepage, verified 2026-08-07 via web search",,,,2026-08-07
Blind Low Vision NZ,disability & accessibility tech,"Blind Low Vision NZ (formerly the Royal New Zealand Foundation of the Blind) supports blind, deafblind, and low-vision New Zealanders, including publishing web accessibility guidelines and running an Accessible Formats Service that produces documents in Braille, large print, and audio.",national,https://blindlowvision.org.nz,,https://nz.linkedin.com/company/blind-low-vision-nz,,,,accessibility; disability; WCAG; assistive technology; charity,Access Matters Aotearoa,blindlowvision.org.nz (verified via WebFetch); takes_contributors and careers_url verified via blindlowvision.org.nz/support-us/volunteer (2026-08-25),1890,true,https://blindlowvision.org.nz/support-us/volunteer/,2026-08-05
Boosted,volunteering / giving platforms,"Boosted is Aotearoa New Zealand's arts crowdfunding platform, run by the charitable trust Arts Foundation Te Tumu Toi. It gives artists one-on-one coaching to run all-or-nothing giving campaigns, and has helped raise more than $10 million for creative projects since it launched in 2013.",national,https://www.boosted.org.nz,,https://www.linkedin.com/company/theartsnz,,,,crowdfunding; giving platform; arts funding; creative sector,Givealittle,"thearts.co.nz/boosted pages and boosted.org.nz (verified via WebSearch, WebFetch blocked by 403); NZ Herald coverage of the Boosted relaunch; LinkedIn company page confirmed via WebSearch",2013,,,2026-08-06
Brainbox Institute,tech-ethics / responsible-AI,"Brainbox Institute is a public interest think tank and consultancy working at the intersection of law, technology and policy, best known for building and maintaining the NZ AI Policy Tracker and advising government and civil society on AI regulation, disinformation and digital governance.",national,https://www.brainbox.institute,,https://www.linkedin.com/company/brainbox-institute/,,,,AI policy; think tank; law and technology; regulation; consultancy,,"brainbox.institute (About, Contact, NZ AI Policy Tracker pages, verified via WebFetch); LinkedIn company page (verified via WebFetch); BusinessDesk article on Brainbox's approach to AI regulation",2018,true,,2026-08-06
Bridge Seat Cooperative,worker-coop / platform-coop tech,"Bridge Seat Cooperative is a small worker-owned group of freelance technology workers based in New Zealand who host services for the decentralised social web, aiming to keep parts of the internet run as a shared public service rather than for commercial profit.",national,https://bridgeseat.substack.com,,,,,,worker cooperative; platform cooperative; decentralised web; freelance,Loomio,bridgeseat.substack.com (verified via WebFetch),2020,true,,2026-08-05
CarbonCrop,green / climate-tech,"CarbonCrop is a New Zealand company, spun out of the Nelson AI Institute in 2020, that uses artificial intelligence and satellite imagery to help farmers and landowners measure their native forests and turn forest restoration into paid carbon credits.",tasman-nelson,https://www.carboncrop.com,,https://nz.linkedin.com/company/carboncrop,,,,climate tech; carbon credits; AI; forestry; startup,,carboncrop.com (verified via WebFetch); LinkedIn company listing found via web search,2020,true,,2026-08-05
Catalyst IT,research / education tech,"Catalyst IT is a New Zealand-owned open-source software company, founded in Wellington in 1997, that builds and supports open-source systems for education (such as Moodle) and libraries (such as Koha), and does significant work for the public sector.",wellington,https://www.catalyst.net.nz,https://github.com/catalyst,https://nz.linkedin.com/company/catalyst-it-limited,,,,open source; education technology; library systems; government contractor,Digital.govt.nz,"web search of catalyst.net.nz official pages (about-us, our-history, government-and-public-sector); direct fetch of the site returned an HTTP 403 from the site's own bot-protection, but the domain is confirmed live and returning real content indexed by search engines",1997,true,,2026-08-05
Cawthron Institute Ocean Technologies,green / climate-tech,"Cawthron Institute, a science research institute based in Nelson, builds ocean sensors and data buoys that let mussel and salmon farmers check water conditions on their phones, and it recently spun out a company called Ocean Intelligence to sell this technology.",tasman-nelson,https://www.cawthron.org.nz/what-we-do/ocean-health/ocean-technologies/,https://github.com/cawthron,https://www.linkedin.com/company/cawthron-institute,,,,ocean tech; aquaculture; remote sensors; research institute; climate tech,CarbonCrop,"cawthron.org.nz/what-we-do/ocean-health/ocean-technologies (verified via curl, HTTP 200); cawthron.org.nz news page on the Ocean Intelligence spin-out found via web search; github and linkedin_org verified for parent Cawthron Institute via github.com/cawthron and linkedin.com (2026-08-25)",,,,2026-08-05
Centre for Artificial Intelligence and Public Policy (CAIPP),tech-ethics / responsible-AI,"CAIPP is a University of Otago research centre that studies the policy, regulation, ethics and governance implications of artificial intelligence, drawing on researchers across law, philosophy, computer science and other fields, and advising government agencies including the Department of Internal Affairs on AI-related policy.",otago,https://www.otago.ac.nz/caipp,,,,,,AI policy; AI ethics; university research; governance; Otago,,"otago.ac.nz/caipp About, Projects, People and News pages (content verified via WebSearch, direct fetch blocked by Cloudflare); DX Talks podcast episode with Professor James Maclaurin on NZ's AI landscape; Otago Magazine ""AI rules and realities"" feature",2018,,,2026-08-06
Christchurch City Council Open Data Portal,open-data,"Christchurch City Council's Spatial Open Data Portal publishes public datasets about council assets, infrastructure, and planning rules, so contractors and residents can find authoritative maps of the city.",canterbury,https://opendata-christchurchcity.hub.arcgis.com/,,,,,,city council; open data; GIS,,"opendata-christchurchcity.hub.arcgis.com homepage (verified via curl, HTTP 200)",2014,,,2026-08-05
Clearhead,mental-health tech,"Clearhead is a New Zealand company, built with clinical experts, that gives workplaces a digital mental health platform with self-help tools, staff wellbeing data, and access to therapy sessions in person, online, or after hours.",national,https://www.myclearhead.com,,,,,,mental health; employee wellbeing; digital health; startup,Groov (formerly Mentemia),"myclearhead.com homepage, redirected from clearhead.org.nz (verified via WebFetch)",,,,2026-08-05
Code 4 Change NZ,education equity tech,"Code 4 Change NZ is a charity that delivers free coding, robotics, and 3D design and printing programmes to South Auckland primary schools, working to close the digital equity gap for Māori, Pacific, and other underserved tamariki who miss out on tech and STEM education because of cost or access barriers.",auckland,https://code4changenz.org,,,,,,coding education; STEM; Māori; Pasifika; South Auckland; digital equity,,"code4changenz.org homepage (verified via WebFetch) and Foundation North ""Digital Equity in South Auckland"" article, registered charity CC63744 since 29 October 2024",2024,true,,2026-08-06
Collaborate,nonprofit / NGO tech,"Collaborate is a New Zealand volunteering app that matches people's skills and interests to volunteer roles at non-profit and community organisations, and has been used by groups including New Zealand Red Cross.",national,https://www.letscollaborate.co.nz,,https://www.linkedin.com/company/collaboratenz,,,,volunteering; nonprofit tech; matching platform; app,New Zealand Red Cross,"letscollaborate.co.nz (verified via WebFetch); founding year (2015), linkedin_org and careers_url verified via letscollaborate.co.nz/story and /volunteer (2026-08-25)",2015,true,https://www.letscollaborate.co.nz/volunteer,2026-08-05
Com2Tech,digital-inclusion,"Com2Tech is a volunteer-led community trust in Dunedin that provides free digital skills classes, low-cost refurbished devices, and community tech support to help people of all ages get online, including dedicated programmes for seniors and job-seekers.",otago,https://www.com2.tech,,https://www.linkedin.com/company/com2tech,,,,digital inclusion; device recycling; community tech; seniors; dunedin,Katoa Connect (formerly 20/20 Trust),"Web search confirmed via odt.co.nz Otago Daily Times article, volunteersouth.org.nz/organisation-profile/1529-community-communications-technology-trust-com2tech, digitalinclusion.nz/placemarks/com2tech/, and LinkedIn company page; direct site fetch blocked by bot protection (403) (verified 2026-08-05)",,true,,2026-08-05
Community IT,digital-inclusion,"Community IT is a community-based project that provides access to digital technology for those who would otherwise go without ; accepting device donations, running free tech repair workshops, donating repaired equipment, and offering subsidised Skinny Jump broadband as a DIAA Industry Partner.",national,https://communityit.org.nz,,,,,,digital-inclusion; device-donation; tech-repair; broadband; community-workshops,Digital Inclusion Alliance Aotearoa,"communityit.org.nz homepage, verified 2026-08-07 via web search",,true,,2026-08-07
Creative Tech NZ,disability & accessibility tech,"Creative Tech NZ, started by disability advocate Glen McMillan, shares stories and resources about how creative and assistive technology, including AI and accessible design, can help disabled children and their families learn, communicate, and take part in everyday life.",national,https://creativetechnewzealand.co.nz,,,,,,accessibility; assistive technology; disability; children; AI,Access Matters Aotearoa (Access Alliance),creativetechnewzealand.co.nz homepage (verified via WebFetch),2019,true,,2026-08-05
data.govt.nz,open-data,"data.govt.nz is the New Zealand government's central website for finding and downloading open datasets published by government agencies, covering topics like health, education, transport, and the environment.",national,https://data.govt.nz,https://github.com/data-govt-nz,,,,,open data; government; data catalogue; govtech,LINZ Data Service; DigitalNZ; GovHack Aotearoa,"data.govt.nz homepage (verified via WebFetch); github verified via github.com/data-govt-nz, founding year (2009) from first Wayback snapshot Nov 2009 (2026-08-25)",2009,,,2026-08-05
Dev Academy Aotearoa (Māori and Pasifika cohorts),iwi / Māori tech initiatives,"Dev Academy Aotearoa is a New Zealand coding bootcamp that runs dedicated scholarships for Māori, Pasifika, and women, cutting course fees so more people from these groups can retrain as web developers, and it has graduated more than twice the share of women and Māori compared with a typical computer science degree.",national,https://devacademy.co.nz/,,https://www.linkedin.com/school/3529441,,,,Māori tech; coding bootcamp; scholarships; digital skills,Digital Natives Academy,"devacademy.co.nz homepage (verified via curl, HTTP 200); web search of devacademy.co.nz and ecommercenews.co.nz; linkedin_org from devacademy.co.nz footer and careers_url verified via devacademy.co.nz/about-us/working-for-us (2026-08-25)",2013,true,https://devacademy.co.nz/about-us/working-for-us,2026-08-05
DigiFale,digital-inclusion,"DigiFale is an intergenerational digital health literacy programme for Pacific communities, training young ""navigators"" to teach their elders how to use phones and online health services with confidence, starting in a Niue community in Māngere in 2020.",auckland,https://digifale.com,,,,,,Pasifika; digital inclusion; digital health literacy; intergenerational; community navigators,,"digifale.com homepage and internetnz.nz article ""DIGIFALE – an intergenerational approach to improving digital inclusion"" (verified via WebFetch), most recent site update 23 July 2025",2020,true,,2026-08-06
Digital Aotearoa Collective,civic-tech,A civil society initiative connecting people across Aotearoa New Zealand who want to use technology and digital tools for the public good. Runs an open Slack community and a GitHub organisation for collaborative projects.,national,https://github.com/digitalaotearoa,https://github.com/digitalaotearoa,,https://digitalaotearoa.github.io/chat/,,,community; slack; open source; civil society,,"digitalaotearoa.github.io/chat and github.com/digitalaotearoa, verified 2026-08-06",,true,,2026-08-06
Digital Equity Coalition Aotearoa,digital-inclusion,"The Digital Equity Coalition Aotearoa (DECA) connects and supports the digital inclusion community in Aotearoa, shining a light on initiatives, identifying gaps, advocating, and offering space for collaboration ; working toward digital equity for every Kiwi.",national,https://digitalequity.nz,,https://linkedin.com/company/digital-equity-coalition-aotearoa,,,,digital-inclusion; digital-equity; coalition; advocacy; connectivity,Digital Inclusion Alliance Aotearoa,"digitalequity.nz homepage, verified 2026-08-07 via web search; founding year (2021) verified via digitalequity.nz/about (2026-08-25)",2021,true,,2026-08-07
Digital Future Aotearoa,education equity tech,"Digital Future Aotearoa is a Christchurch-based charitable trust (CC51617) that runs Code Club Aotearoa, a national network of free coding clubs for children, and the Recycle a Device programme, which refurbishes donated laptops for students who cannot afford a device.",canterbury,https://www.digitalfutureaotearoa.nz,,https://nz.linkedin.com/company/digital-future-aotearoa,,,,coding education; digital inclusion; device recycling; youth; christchurch,Digital Natives Academy,"Web search confirmed via internetnz.nz/news-and-articles/announcing-a-new-partner-digital-future-aotearoa/, NZ Charities Register CC51617 at register.charities.govt.nz/Charity/CC51617, and LinkedIn company page; direct site fetch blocked by bot protection (403) (verified 2026-08-05)",2015,true,,2026-08-05
Digital Identity New Zealand,govtech,"Digital Identity New Zealand brings together government, business, and community groups working on digital identity, so that New Zealanders can prove who they are online in ways that are open, trustworthy, and work well together.",national,https://digitalidentity.nz,,https://www.linkedin.com/company/digitalidnz/,,,,digital identity; digital trust; industry association; govtech,Digital.govt.nz,digitalidentity.nz homepage (verified via WebFetch); linkedin_org verified from digitalidentity.nz homepage and linkedin.com (2026-08-25),2019,,,2026-08-05
Digital Inclusion Alliance Aotearoa,digital-inclusion,"Digital Inclusion Alliance Aotearoa is a Wellington-based charity that runs a federated network of more than 300 local partner organisations across New Zealand, delivering programmes like Digital Steps and Digi-Coaches so more people can get online, build digital skills, and find work.",wellington,https://digitalinclusionalliance.nz,,https://nz.linkedin.com/company/digital-inclusion-alliance-aotearoa,,,,digital inclusion; digital skills; charity; federated network; community partnerships,Katoa Connect (formerly 20/20 Trust),"digitalinclusionalliance.nz/about/objective (verified via WebFetch); digitalinclusionalliance.nz/contact for Wellington registered office, found via web search",2018,true,,2026-08-06
Digital Natives Academy,iwi / Māori tech initiatives,"Digital Natives Academy is a Rotorua-based charity, started in 2014, that gives young people, especially Māori rangatahi (youth), free training and access to technology in coding, robotics, animation, and game development, to help them move from using technology to creating it.",bay-of-plenty,https://digitalnatives.academy/,,https://www.linkedin.com/company/digitalnativesacademy,,,,Māori tech; youth technology education; digital skills; charity,Dev Academy Aotearoa,"digitalnatives.academy homepage (verified via curl, HTTP 200); web search of digitalnatives.academy and Wikipedia; linkedin_org verified via linkedin.com (2026-08-25)",2014,true,,2026-08-05
Digital.govt.nz,govtech,"Digital.govt.nz is the New Zealand government's hub for digital transformation guidance, standards, and case studies, including work formerly run by the Department of Internal Affairs' Service Innovation Lab (which closed after several years of running government innovation projects).",national,https://www.digital.govt.nz,,,,,,govtech; digital government; standards; service design,data.govt.nz,"digital.govt.nz (verified via WebFetch); Service Innovation Lab closure reported on digital.govt.nz news page found via web search; founding year (2017) verified via digital.govt.nz blog post 'Building a new digital presence' (Dec 2017, Wayback) (2026-08-25)",2017,,,2026-08-05
DigitalNZ,open-data,"DigitalNZ, run by the National Library of New Zealand, is a search service and open application programming interface (API) that brings together more than 30 million digitised items (photos, articles, and records) from over 200 New Zealand museums, libraries, and archives into one searchable place.",national,https://digitalnz.org,https://github.com/DigitalNZ,,,,,open data; cultural heritage; API; aggregator; open source,data.govt.nz; GovHack Aotearoa,digitalnz.org and github.com/DigitalNZ (both verified via WebFetch),2008,true,,2026-08-05
Dunedin City Council Open Data,open-data,Dunedin City Council runs an open data hub where people can explore and download the council's public spatial data and build their own maps and tools with it.,otago,https://city-of-dunedin-open-data-dunedin-gis.hub.arcgis.com/,,,,,,city council; open data; GIS,,"city-of-dunedin-open-data-dunedin-gis.hub.arcgis.com homepage (verified via curl, HTTP 200)",2014,,,2026-08-05
Enspiral,worker-coop / platform-coop tech,"Enspiral is a Wellington-founded network of people and social enterprises who support each other to do work that helps society, and it is the community that the decision-making tool Loomio originally grew out of.",wellington,https://www.enspiral.com,https://github.com/enspiral,https://nz.linkedin.com/company/enspiral,,,,social enterprise network; cooperative; incubator; collective,Loomio,enspiral.com (verified via WebFetch); P2P Foundation and Corporate Rebels background via web search,2010,true,,2026-08-05
Envico Technologies,green / climate-tech,"Envico Technologies is a Tauranga-based company that builds heavy-lifting drones to help protect New Zealand's native wildlife, using them to drop pest bait and native seeds in places that are too remote or dangerous for people to reach on foot.",bay-of-plenty,https://www.envicotech.co.nz,,https://nz.linkedin.com/company/envicotech,,,,climate tech; conservation tech; drones; pest control; startup,,envicotech.co.nz About Us page (verified via WebFetch); LinkedIn company listing and Callaghan Innovation background found via web search; careers_url verified via envicotech.co.nz/careers (2026-08-25),2015,,https://www.envicotech.co.nz/careers,2026-08-05
Environment Canterbury Open Data,open-data,"Environment Canterbury runs an open data portal where anyone can download the regional council's public information about air quality, freshwater, and resource consents in the Canterbury region.",canterbury,https://data.ecan.govt.nz/,,,,,,regional council; open data; environment; GIS,,"data.ecan.govt.nz homepage (verified via curl, HTTP 200)",2014,,,2026-08-05
Environment Southland Open Data,open-data,"Environment Southland, the Southland Regional Council, publishes open GIS data on rivers, resource consents, and monitoring sites, including live environmental data like river flows and rainfall for the Southland region.",southland,https://data-esgis.opendata.arcgis.com/,,,,,,regional council; open data; environment; GIS,,"data-esgis.opendata.arcgis.com homepage (verified via curl, HTTP 200); envdata.es.govt.nz noted as companion live-data site",2015,true,,2026-08-05
EPIC Westport,digital-inclusion,"EPIC Westport is a Buller innovation hub and business incubator offering digital literacy workshops, mentoring and co-working space, set up to help the region's economy diversify into digital industries after major local job losses at Solid Energy and Holcim Cement.",west-coast,https://www.epicwestport.co.nz,,https://www.linkedin.com/company/epic-westport,,,,digital literacy; business incubator; coworking; regional development; West Coast,,"epicwestport.co.nz About page (verified via WebFetch); Beehive.govt.nz release ""EPIC co-working space opens in Westport""; Stuff.co.nz article on EPIC's arrival in Westport; linkedin_org verified via linkedin.com (2026-08-25)",2016,true,,2026-08-06
Fibre Fale,digital-inclusion,"Fibre Fale is a Pasifika-led social enterprise creating pathways into the technology industry for Pacific people in Aotearoa. Founded in 2022, it delivers events, mentoring programmes, and free AI literacy resources (including the 'AI with Eteroa' online course), with a goal of equal Pasifika representation in the NZ tech workforce by 2042.",auckland,https://www.fibrefale.com,,https://www.linkedin.com/company/fibre-fale,,,,pasifika; digital-inclusion; tech-pathways; ai-literacy; social-enterprise,,fibrefale.com confirmed via Foundation North grant announcement and DigitalNZ record; NZBN 9429048083638 confirmed on Company Hub; launch event November 2022 on Eventbrite; RNZ interview with co-founders confirmed; verified via web search 2026-08-05,2022,true,,2026-08-05
Figure.NZ,open-data,"Figure.NZ is a charity that publishes free, easy-to-understand data and charts about New Zealand, so anyone can find and reuse the country's numbers without needing to be a data expert.",auckland,https://figure.nz,https://github.com/FigureNZ,https://nz.linkedin.com/company/figure-nz,,,,open data; data visualisation; data literacy; charity,data.govt.nz,figure.nz homepage (verified via WebFetch); LinkedIn company listing found via web search; careers_url (volunteer page) verified via tohu.figure.nz/external/connect_with_us (2026-08-25),2012,true,https://tohu.figure.nz/external/connect_with_us/,2026-08-05
FYI.org.nz,civic-tech,"FYI.org.nz is a free platform that helps anyone in New Zealand make Official Information Act requests to over 3,184 public authorities ; publishing all requests and responses online so the public can see what information has been released, with over 34,500 requests made.",national,https://fyi.org.nz,,,,,,civic-tech; OIA; transparency; open-government; freedom-of-information,data.govt.nz,"fyi.org.nz homepage, verified 2026-08-07 via web search",,true,,2026-08-07
GeoNet,crisis / humanitarian-tech,"GeoNet is New Zealand's natural hazard monitoring system, run by GNS Science with government partners, using over 1,000 sensors to provide free, real-time open data on earthquakes, volcanoes, tsunamis, and landslides.",national,https://www.geonet.org.nz,https://github.com/GeoNet,,,,,disaster monitoring; open data; earthquakes; science agency,data.govt.nz,geonet.org.nz (verified via WebFetch); GNS Science background via web search,2001,,,2026-08-05
Get Ready (National Emergency Management Agency),crisis / humanitarian-tech,"Get Ready is the New Zealand government's National Emergency Management Agency website that helps people prepare for disasters like earthquakes and floods, including information on the Emergency Mobile Alert system that broadcasts warnings straight to phones without needing an app.",national,https://getready.govt.nz,,https://www.linkedin.com/company/national-emergency-management-agency,,,,disaster preparedness; government agency; emergency alerts; civil defence,GeoNet; New Zealand Red Cross,"web search of getready.govt.nz and civildefence.govt.nz official pages; direct fetch of the site returned an HTTP 403 from the site's own bot-protection, but the domain is confirmed live and returning real content indexed by search engines; takes_contributors and careers_url verified via getready.govt.nz/involved/volunteer (Wayback), linkedin_org verified for NEMA via linkedin.com (2026-08-25)",,true,https://getready.govt.nz/involved/volunteer/,2026-08-05
Gisborne District Council Geoportal (Tairāwhiti),open-data,"Gisborne District Council's Geoportal Data Hub lets people explore and download public spatial data for the Tairāwhiti (Gisborne) region, like parks, public toilets, and sites of geological significance.",gisborne,https://geoportal-gizzy.opendata.arcgis.com/,,,,,,district council; open data; GIS,,"geoportal-gizzy.opendata.arcgis.com homepage (verified via curl, HTTP 200)",2016,,,2026-08-05
Givealittle,volunteering / giving platforms,"Givealittle is a New Zealand-owned, not-for-profit crowdfunding website, owned by Perpetual Guardian, where people and charities can raise money online for personal causes, community projects, and disaster response.",auckland,https://www.givealittle.co.nz,,https://www.linkedin.com/company/givealittle,,,,crowdfunding; giving platform; charity; fundraising,,givealittle.co.nz homepage (verified via WebFetch); LinkedIn company page confirmed via WebFetch,2011,,,2026-08-05
